20,Female,Single,Student,No Income,Post Graduate,4,Frequent,12.9765996932983,77.5992965698242,560001,1,Positive
24,Female,Single,Student,Below Rs.10000,Graduate,3,Regular,12.9770002365112,77.5773010253906,560009,1,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,12.9551000595093,77.6593017578125,560017,1,"Negative "
22,Female,Single,Student,No Income,Graduate,6,Frequent,12.9472999572754,77.5615997314453,560019,1,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,12.9849996566772,77.5532989501953,560010,1,Positive
27,Female,Married,Employee,More than 50000,Post Graduate,2,Regular,12.9299001693726,77.6847991943359,560103,1,Positive
22,Male,Single,Student,No Income,Graduate,3,Regular,12.9770002365112,77.5773010253906,560009,1,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,12.9827995300293,77.6130981445313,560042,1,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,12.9765996932983,77.5992965698242,560001,1,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,12.9854001998901,77.7080993652344,560048,1,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,12.9849996566772,77.5532989501953,560010,1,Positive
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,12.9770002365112,77.5773010253906,560009,1,"Negative "
23,Male,Single,Student,No Income,Post Graduate,5,Frequent,12.8987998962402,77.5764007568359,560078,1,Positive
21,Male,Single,Student,No Income,Graduate,4,Frequent,12.9770002365112,77.5773010253906,560009,1,Positive
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,Frequent,12.9437999725342,77.5737991333008,560004,1,Positive
24,Female,Single,Student,No Income,Post Graduate,6,Frequent,12.8893003463745,77.6399002075195,560068,1,Positive
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,12.9783000946045,77.6408004760742,560038,1,Positive
23,Female,Single,Student,No Income,Graduate,3,Regular,12.9820003509521,77.625602722168,560008,1,"Negative "
25,Male,Single,Student,No Income,Graduate,4,Frequent,12.8987998962402,77.5764007568359,560078,1,"Negative "
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,New,12.9783000946045,77.6408004760742,560038,1,Positive
24,Male,Single,Student,No Income,Post Graduate,3,Regular,12.9770002365112,77.5773010253906,560009,1,Positive
22,Male,Single,Student,No Income,Post Graduate,4,Frequent,13.0298004150391,77.6046981811523,560032,1,Positive
22,Female,Single,Student,No Income,Graduate,4,Frequent,12.9982995986938,77.6408996582031,560033,1,Positive
23,Male,Single,Student,No Income,Graduate,4,Frequent,12.9925003051758,77.5633010864258,560021,1,Positive
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,12.9306001663208,77.5434036254883,560085,1,Positive
25,Male,Single,Student,No Income,Post Graduate,3,Regular,12.9820003509521,77.625602722168,560008,1,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,12.9352998733521,77.5585021972656,560050,1,Positive
22,Male,Single,Student,No Income,Post Graduate,3,Regular,12.9154996871948,77.5134963989258,560098,1,Positive
23,Female,Single,Employee,10001 to 25000,Graduate,3,Regular,12.9854001998901,77.7080993652344,560048,1,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,13.0018997192383,77.5712966918945,560003,1,Positive
22,Female,Single,Employee,10001 to 25000,Graduate,5,Frequent,12.9697999954224,77.75,560066,1,Positive
22,Male,Single,Student,No Income,Post Graduate,4,Frequent,12.9783000946045,77.6408004760742,560038,1,Positive
25,Male,Married,Employee,More than 50000,Ph.D,4,Frequent,12.9260997772217,77.6221008300781,560034,1,Positive
22,Female,Single,Student,10001 to 25000,Post Graduate,5,Frequent,12.9849996566772,77.5532989501953,560010,1,Positive
22,Female,Single,Student,No Income,Post Graduate,2,Regular,12.9118995666504,77.6445999145508,560102,1,Positive
25,Male,Single,Student,10001 to 25000,Post Graduate,3,Regular,12.9306001663208,77.5434036254883,560085,1,Positive
25,Male,Single,Student,No Income,Post Graduate,5,Frequent,12.9770002365112,77.5773010253906,560009,0,Positive
32,Female,Prefer not to say,House wife,No Income,Graduate,5,Frequent,12.9820003509521,77.625602722168,560008,1,"Negative "
23,Female,Single,Student,No Income,Post Graduate,3,Regular,12.9437999725342,77.5737991333008,560004,1,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,12.8987998962402,77.5764007568359,560078,1,Positive
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,Frequent,12.9661998748779,77.6067962646484,560025,1,"Negative "
23,Male,Single,Student,No Income,Graduate,3,Regular,12.9565000534058,77.5484008789063,560026,1,Positive
23,Male,Single,Student,No Income,Post Graduate,4,Frequent,12.9925003051758,77.5633010864258,560021,1,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,12.9849996566772,77.5532989501953,560010,1,Positive
22,Male,Single,Student,No Income,Graduate,5,Frequent,12.9849996566772,77.5532989501953,560010,1,Positive
27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,Regular,12.9260997772217,77.6221008300781,560034,1,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,12.9770002365112,77.5773010253906,560009,1,Positive
