2020,7,37,33559,0.00110132158590308
2020,8,1,36577,2.73388375526273E-05
2020,9,5,28148,0.000177600966149256
2020,10,8,31876,0.000250909547108267
2020,11,11,28034,0.00039222677839187
2020,12,16,27560,0.00058021467943139
2021,1,1,28647,3.49064507120916E-05
2021,2,6,33502,0.00017906171660499
2021,3,2,26366,7.58495145631068E-05
2021,4,3,23369,0.000128358719835701
2021,5,2,25409,7.87060721734682E-05
2021,6,8,24116,0.000331619963521804
2021,7,2,26792,7.4643576920206E-05
2021,8,4,30918,0.000129357738826725
2021,9,42,24394,0.00171877557701752
2021,10,86,22440,0.00381781053005416
2021,11,14,14731,0.000949474398101051
2021,12,12,17903,0.0006698297516048
2022,1,11,24018,0.000457780182279745
2022,2,4,17414,0.00022964749110116
2022,3,3,16483,0.000181972582797525
2022,4,4,15433,0.000259117704217141
2022,5,3,17231,0.000174074503887664
2022,6,14,18254,0.00076636741843661
2022,7,10,25219,0.000396369257600381
2022,8,7,31715,0.000220667044953029
2022,9,22,24018,0.000915141430948419
2022,10,31,29700,0.00104268272173825
2022,11,6,22589,0.000265545474662536
2022,12,10,21754,0.000459474361330638
2023,1,11,31235,0.000352045061767906
2023,2,5,20653,0.000242036983251041
2023,3,45,21290,0.00210921021795172
2023,4,12,19107,0.000627647889533971
2023,5,2,19765,0.000101178732230485
2023,6,1,17823,5.61041292639138E-05
